Rank,County,Population
1,Los Angeles County,10105518
2,San Diego County,3343364
3,Orange County,3185968
4,Riverside County,2450758
5,San Bernardino County,2171603
6,Santa Clara County,1937570
7,Alameda County,1666753
8,Sacramento County,1540975
9,Contra Costa County,1150215
10,Fresno County,994400
11,Kern County,896764
12,San Francisco County,883305
13,Ventura County,850967
14,San Mateo County,769545
15,San Joaquin County,752660
16,Stanislaus County,549815
17,Sonoma County,499942
18,Tulare County,465861
19,Solano County,446610
20,Santa Barbara County,446527
21,Monterey County,435594
22,Placer County,393149
23,San Luis Obispo County,284010
24,Merced County,274765
25,Santa Cruz County,274255
26,Marin County,259666
27,Butte County,231256
28,Yolo County,220408
29,El Dorado County,190678
30,Imperial County,181827
31,Shasta County,180040
32,Madera County,157672
33,Kings County,151366
34,Napa County,139417
35,Humboldt County,136373
36,Nevada County,99696
37,Sutter County,96807
38,Mendocino County,87606
39,Yuba County,78041
40,Lake County,64382
41,Tehama County,63916
42,San Benito County,61537
43,Tuolumne County,54539
44,Calaveras County,45602
45,Siskiyou County,43724
46,Amador County,39383
47,Lassen County,30802
48,Glenn County,28047
49,Del Norte County,27828
50,Colusa County,21627
51,Plumas County,18804
52,Inyo County,17987
53,Mariposa County,17471
54,Mono County,14250
55,Trinity County,12535
56,Modoc County,8777
57,Sierra County,2987
58,Alpine County,1101
