0,492038,808383,235858,779092,600459,686304,1028999,651529,727983,302887,424172,366452,438229,630450,718428,454865,593572,321095,542350,177945,839123,455280,1191262,626500,691303,863164
492351,0,1520142,969819,644761,993711,172566,0,524473,68339,527262,602025,457585,748391,773281,48587,173611,217048,686896,473470,458681,264164,107455,109764,811174,336922,123
818682,1506297,0,1432975,1043129,1059938,488878,123,454180,91911,556654,585103,658278,749280,877995,118240,461932,364031,315390,781941,319714,292130,272160,284227,1084239,402056,36927
244672,975649,1442933,0,60291,178429,462001,855,489527,130898,126236,2322,23147,271838,83027,49211,267336,78575,196772,262031,99514,313189,52,648815,491361,102109,291731
791387,653632,1035906,55900,0,859973,506764,647162,478543,360525,200301,298628,464671,479105,745350,264446,297551,358430,413776,554830,192849,574518,50,483445,602812,380012,312061
595584,1029068,1100134,178307,859495,0,479193,1242536,800105,671234,248045,555131,630784,579071,630656,204057,195854,402851,317876,561292,286336,572648,0,445388,511209,769224,268395
671898,171650,484663,449637,506812,465423,0,658674,343578,361429,111339,307919,305822,50268,100318,112810,0,146141,21539,58790,0,338949,98,449742,183979,100431,224758
1032522,0,0,3061,630985,1238077,655243,0,295392,407398,88836,417,330254,59,473048,8300,0,439293,0,0,0,662473,233737,405434,0,299644,220697
659595,526701,463051,489028,483839,825334,347720,301304,0,622161,257379,479393,208522,176854,314219,497232,79895,249742,101736,167126,74748,500474,169446,391890,100396,242970,139338
725246,70928,92580,135812,361417,669146,369426,419715,645393,0,3947,80728,226211,93438,200195,2203,95277,247760,38776,139077,45734,286408,0,382796,44152,245752,190964
292812,524282,543213,125575,208852,238675,113395,84275,270673,970,0,87395,169050,137535,432587,999,28507,92211,143307,44619,47234,229299,177663,185394,105838,92422,130294
415675,619083,604841,1706,292836,541366,311908,191,461075,74456,89953,0,439168,243394,338350,71688,42601,179631,140594,327516,71796,486669,187442,601542,268208,156697,272610
376530,455299,649310,22787,450981,617459,314754,336798,201010,220981,161818,456005,0,329735,617642,109147,146160,202071,242561,358505,129136,417587,114,344880,410040,144608,203094
431816,747396,748010,267342,474986,578867,45784,0,174719,91339,133046,233977,326080,0,716875,26488,403485,207682,327373,604403,463702,138640,138374,62469,556585,456622,169
623957,718729,870031,83387,750030,619267,97420,464593,313127,202509,440185,342782,612342,699378,0,236442,681390,334728,509036,936357,463929,274997,448608,364614,849730,701548,181766
719600,51262,123605,48590,256500,204064,114359,2889,498028,186,3052,67211,106690,25907,231246,0,125092,314660,99287,204130,0,446462,226038,382869,216315,124483,271240
457775,181375,456863,258886,299932,192650,0,140,79159,98327,27943,40957,145978,387396,673065,122143,0,206021,186649,564834,264792,81038,90229,99231,429312,255858,0
593088,226846,371009,77494,356603,399678,151689,444491,246218,251731,95081,180723,197767,207073,338649,322305,215084,0,109067,364167,39523,350170,230157,480112,479927,367343,246927
314499,659758,302141,192994,428493,328623,20910,0,98103,39374,133923,134633,264888,328875,506954,99437,187727,103571,0,650187,170623,104220,181377,31982,481087,168232,0
539698,471415,771380,260559,572527,573633,58317,54,166302,140668,44033,318108,373267,589712,916844,205454,567013,371034,625753,0,390117,465404,300101,172976,631509,576082,126666
174363,464461,322405,97194,202015,280334,0,0,73740,44153,47136,63094,124122,454722,476428,0,264698,37790,171246,397569,0,29720,94744,40,337658,189169,0
831810,268120,295697,310138,567451,588884,342601,671807,488932,279136,213119,493789,410825,140551,284278,451447,82261,353616,114217,447937,31997,0,54650,507743,266978,258165,370025
458147,111514,267930,0,50,0,144,234810,170091,0,184050,190231,59,136346,440865,226551,91506,239359,173467,288006,94400,50895,0,317026,372658,386898,168710
1181215,107204,288582,656095,479729,450016,442751,417551,396367,390476,185715,609941,345716,65488,352743,384966,101299,483683,31792,174832,0,520327,318424,0,105960,307775,7820
632715,789381,1056051,484519,615992,512692,179260,0,100446,43149,90485,269517,417710,539735,849221,220105,422347,482261,477735,637953,329303,258351,384908,107987,0,420862,75509
694535,327735,399370,101770,382440,777198,98943,305819,240800,239390,94680,157879,144162,455788,702563,127343,247629,368518,164677,566408,181780,260706,385511,312089,411165,0,118887
863705,142,42507,285874,306884,263422,229245,222528,138400,191337,129943,274970,197244,174,180860,266566,0,245579,0,132984,0,376039,170249,7234,77096,114795,0
